RANK,PLAYER,TEAM,POS
1, Saquon Barkley,NYG,RB
2, Ezekiel Elliott,DAL,RB
3, Christian McCaffrey,CAR,RB
4, Alvin Kamara,NO,RB
5, David Johnson,ARI,RB
6, Davante Adams,GB,WR
7, DeAndre Hopkins,HOU,WR
8, Todd Gurley II,LAR,RB
9, James Conner,PIT,RB
10, Odell Beckham Jr,CLE,WR
11, Joe Mixon,CIN,RB
12, Julio Jones,ATL,WR
13, JuJu Smith-Schuster,PIT,WR
14, Dalvin Cook,MIN,RB
15, Michael Thomas,NO,WR
16, Tyreek Hill,KC,WR
17, Travis Kelce,KC,TE
18, Nick Chubb,CLE,RB
19, Mike Evans,TB,WR
20, Josh Jacobs,OAK,RB
21, Le'Veon Bell,NYJ,RB
22, Antonio Brown,NE,WR
23, Aaron Jones,GB,RB
24, Keenan Allen,LAC,WR
25, Chris Carson,SEA,RB
26, Kerryon Johnson,DET,RB
27, Adam Thielen,MIN,WR
28, Devonta Freeman,ATL,RB
29, Patrick Mahomes,KC,QB
30, Amari Cooper,DAL,WR
31, Leonard Fournette,JAC,RB
32, George Kittle,SF,TE
33, Zach Ertz,PHI,TE
34, Robert Woods,LAR,WR
35, Cooper Kupp,LAR,WR
36, Sony Michel,NE,RB
37, David Montgomery,CHI,RB
38, Chris Godwin,TB,WR
39, Derrius Guice,WAS,RB
40, Marlon Mack,IND,RB
41, Stefon Diggs,MIN,WR
42, Mark Ingram II,BAL,RB
43, Deshaun Watson,HOU,QB
44, Derrick Henry,TEN,RB
45, T,IND,WR
46, Damien Williams,KC,RB
47, Brandin Cooks,LAR,WR
48, Tyler Lockett,SEA,WR
49, Julian Edelman,NE,WR
50, James White,NE,RB
51, Kenny Golladay,DET,WR
52, Tyler Boyd,CIN,WR
53, DJ Moore,CAR,WR
54, Tevin Coleman,SF,RB
55, Robby Anderson,NYJ,WR
56, Evan Engram,NYG,TE
57, Melvin Gordon,LAC,RB
58, A,CIN,WR
59, Duke Johnson Jr,HOU,RB
60, Alshon Jeffery,PHI,WR
61, Mike Williams,LAC,WR
62, Emmanuel Sanders,DEN,WR
63, O,TB,TE
64, Austin Ekeler,LAC,RB
65, Devin Singletary,BUF,RB
66, Hunter Henry,LAC,TE
67, Latavius Murray,NO,RB
68, Miles Sanders,PHI,RB
69, LeSean McCoy,KC,RB
70, Vance McDonald,PIT,TE
71, Phillip Lindsay,DEN,RB
72, Dede Westbrook,JAC,WR
73, Will Fuller V,HOU,WR
74, Aaron Rodgers,GB,QB
75, Baker Mayfield,CLE,QB
76, Carson Wentz,PHI,QB
77, Matt Ryan,ATL,QB
78, Sterling Shepard,NYG,WR
79, Sammy Watkins,KC,WR
80, Allen Robinson,CHI,WR
81, Tyrell Williams,OAK,WR
82, Kyler Murray,ARI,QB
83, Josh Gordon,NE,WR
84, Jordan Howard,PHI,RB
85, Jarvis Landry,CLE,WR
86, Royce Freeman,DEN,RB
87, Ben Roethlisberger,PIT,QB
88, Christian Kirk,ARI,WR
89, Rashaad Penny,SEA,RB
90, Calvin Ridley,ATL,WR
91, Jared Cook,NO,TE
92, Matt Breida,SF,RB
93, Kalen Ballage,MIA,RB
94, Curtis Samuel,CAR,WR
95, Donte Moncrief,PIT,WR
96, Kenyan Drake,MIA,RB
97, Geronimo Allison,GB,WR
98, Cam Newton,CAR,QB
99, Marvin Jones Jr,DET,WR
100, Marquez Valdes-Scantling,GB,WR
101, Darrell Henderson,LAR,RB
102, Jared Goff,LAR,QB
103, Larry Fitzgerald,ARI,WR
104, Jamison Crowder,NYJ,WR
105, Austin Hooper,ATL,TE
106, Tom Brady,NE,QB
107, Anthony Miller,CHI,WR
108, Tarik Cohen,CHI,RB
109, Frank Gore,BUF,RB
110, Delanie Walker,TEN,TE
111, Drew Brees,NO,QB
112, Jameis Winston,TB,QB
113, Corey Davis,TEN,WR
114, Dante Pettis,SF,WR
115, Tony Pollard,DAL,RB
116, Carlos Hyde,HOU,RB
117, Darren Waller,OAK,TE
118, Peyton Barber,TB,RB
119, Ronald Jones,TB,RB
120, Courtland Sutton,DEN,WR
121, Dion Lewis,TEN,RB
122, Greg Olsen,CAR,TE
123, Alexander Mattison,MIN,RB
124, Justin Jackson,LAC,RB
125, Russell Wilson,SEA,QB
126, DeSean Jackson,PHI,WR
127, Mitchell Trubisky,CHI,QB
128, Lamar Jackson,BAL,QB
129, Jack Doyle,IND,TE
130, Michael Gallup,DAL,WR
131, Jamaal Williams,GB,RB
132, Malcolm Brown,LAR,RB
133, John Brown,BUF,WR
134, Kenny Stills,HOU,WR
135, Albert Wilson,MIA,WR
136, Devin Funchess,IND,WR
137, Justice Hill,BAL,RB
138, Rashard Higgins,CLE,WR
139, Mohamed Sanu,ATL,WR
140, Marquise Brown,BAL,WR
141, Chicago Bears,CHI,DST
142, Los Angeles Rams,LAR,DST
143, Jacksonville Jaguars,JAC,DST
144, Minnesota Vikings,MIN,DST
145, Los Angeles Chargers,LAC,DST
146, Houston Texans,HOU,DST
147, New England Patriots,NE,DST
148, Indianapolis Colts,IND,DST
149, Buffalo Bills,BUF,DST
150, New Orleans Saints,NO,DST
151, Greg Zuerlein,LAR,K
152, Stephen Gostkowski,NE,K
153, Justin Tucker,BAL,K
154, Wil Lutz,NO,K
155, Harrison Butker,KC,K
156, Ka'imi Fairbairn,HOU,K
157, Robbie Gould,SF,K
158, Adam Vinatieri,IND,K
159, Brett Maher,DAL,K
160, Jason Myers,SEA,K
161, Dak Prescott,DAL,QB
162, David Njoku,CLE,TE
163, Ty Montgomery,NYJ,RB
164, Damien Harris,NE,RB
165, Philip Rivers,LAC,QB
166, Deebo Samuel,SF,WR
167, Golden Tate,NYG,WR
168, Chris Thompson,WAS,RB
169, Jaylen Samuels,PIT,RB
170, Josh Allen,BUF,QB
171, Darwin Thompson,KC,RB
172, James Washington,PIT,WR
173, Adam Humphries,TEN,WR
174, Phillip Dorsett,NE,WR
175, DeVante Parker,MIA,WR
176, Miles Boykin,BAL,WR
177, Giovani Bernard,CIN,RB
178, Kirk Cousins,MIN,QB
179, Eric Ebron,IND,TE
180, Kyle Rudolph,MIN,TE
181, Kareem Hunt,CLE,RB
182, Nyheim Hines,IND,RB
183, Ryquell Armstead,JAC,RB
184, Keke Coutee,HOU,WR
185, Trey Quinn,WAS,WR
186, Mark Andrews,BAL,TE
187, Sam Darnold,NYJ,QB
188, DaeSean Hamilton,DEN,WR
189, Dallas Goedert,PHI,TE
190, Demaryius Thomas,NE,WR
191, Hunter Renfrow,OAK,WR
192, Trey Burton,CHI,TE
193, Ito Smith,ATL,RB
194, Jordan Reed,WAS,TE
195, Jimmy Garoppolo,SF,QB
196, T,BUF,RB
197, Adrian Peterson,WAS,RB
198, C,DET,RB
199, Jalen Richard,OAK,RB
200, Chase Edmonds,ARI,RB